WELL_ID,LAT_DD,LONG_DD,FUNC,STATUS,COD_FCN,COD_QTY,COD_RESRCE,ADM1,ADM2,ACTIVITY,COUNTRY,WATERSRC,WATERTECH,INSTALLED,MGMT,PAY,SOURCE,RPT_DATE
364879,6.30775500000,-10.79940900000,Yes,Working but with problems. dry|dry,2,1,0,Montserrado,Greater Monrovia,sz6hc0q,LR,stand pipe,Not a manual pump,2008,Direct Government Operation,No water committee,WASH Liberia,27/05/2011
489544,-0.55033330000,34.38775000000,No,Low yield|Normally operational,2,1,0,Homa Bay,Mbita,Soko Oyamo Spring,KE,,Gravity-fed communal standpipe,0,Community Management,Per Month,Engineering Sciences & Global Development,25/01/2011
489510,-0.53025000000,34.34992000000,No,Low yield|No operation in the dry season,2,1,1,Homa Bay,Mbita,Soko Oluoch,KE,,Unprotected spring,0,0,No payment system,Engineering Sciences & Global Development,24/01/2011
489698,-0.52100000000,34.27553000000,No,Low yield|Normally operational,2,1,0,Homa Bay,Mbita,Sigana WP,KE,,Borehole with hand pump,0,Community Management,Per Month,Engineering Sciences & Global Development,20/01/2011
489716,-0.73351670000,34.19025000000,Yes,No operation in the dry season,2,0,1,Homa Bay,Suba,Seka Water Spring,KE,,Gravity-fed communal standpipe,2005,Community Management,Per Month,Engineering Sciences & Global Development,02/04/2011
489474,-0.63130000000,34.45932000000,Yes,In the dry season,2,0,1,Homa Bay,,Ruga Primary School,KE,,Borehole with hand pump,0,Community Management,Per Month,Engineering Sciences & Global Development,24/03/2011
359736,4.64529000000,-7.58276800000,Yes,Working but with problems. Insufficient during dry season|Insufficient during dry season,2,0,1,Maryland,Pleebo/Sodoken,rnqwe,LR,Manual pump on hand-dug well,Afridev,2007,Community Management,Yes but only in case of breakdown,WASH Liberia,07/02/2011
489357,-0.65085000000,34.40688000000,Yes,In the dry season,2,0,1,Homa Bay,Ndhiwa,Ramoya B well,KE,,Protected dug well with hand pump,0,,No payment system,Engineering Sciences & Global Development,01/02/2011
489358,-0.64243330000,34.39413000000,Yes,In the dry season,2,0,1,Homa Bay,Ndhiwa,Ramoya A well,KE,,Protected dug well with hand pump,2000,Direct Government  Operation,No payment system,Engineering Sciences & Global Development,01/02/2011
359715,4.57618600000,-7.65128400000,Yes,Working but with problems. Require Redigging,2,0,1,Maryland,Pleebo/Sodoken,r8yjn,LR,Manual pump on hand-dug well,India Mark,2010,Community Management,Never,WASH Liberia,07/02/2011
359579,4.57328700000,-7.64015400000,Yes,Working but with problems. Required digging,2,0,1,Maryland,Pleebo/Sodoken,r8be0,LR,Manual pump on hand-dug well,India Mark,2007,Community Management,Yes at least once a month,WASH Liberia,07/02/2011
365672,4.49261700000,-7.66407800000,Yes,Working but with problems. Seasonal dryness,2,0,1,Maryland,Pleebo/Sodoken,qqyeo,LR,Manual pump on borehole,Afridev,1970,Community Management,Yes but only in case of breakdown,WASH Liberia,29/01/2011
362882,4.38698500000,-7.71823600000,Yes,Working but with problems. Well polluted|Under construction,2,1,0,Maryland,Harper,q48jq,LR,Manual pump on hand-dug well,Afridev,2007,Community Management,Yes but only in case of breakdown,WASH Liberia,24/01/2011
489483,-0.61806670000,34.49038000000,Yes,In the dry season,2,0,1,Homa Bay,,Pundo Shallow Well,KE,,Protected dug well with hand pump,1996,Community Management,Per Month,Engineering Sciences & Global Development,25/03/2011
489168,-1.05348173000,37.07744713000,Yes,Functional ( in use),1,1,0,,,p.mwangi,KE,Public tap/standpipe (stand alone or water kiosk,Hand manual|Hand (manual),2011,Private Individual/Delegated Management,3 KES/20L Jerrican,Virtual Kenya,11/10/2012
489375,-0.53713330000,34.59130000000,Yes,In the dry season,2,0,1,Homa Bay,,Othoro S/W,KE,,Protected dug well with hand pump,1995,Community Management,Per Month,Engineering Sciences & Global Development,09/02/2011
489392,-0.51360000000,34.58433000000,No,Low yield|Normally operational,2,1,0,Homa Bay,,Oriwo B/H,KE,,Borehole with hand pump,1987,Community Management,No payment system,Engineering Sciences & Global Development,08/02/2011
489288,-0.77478330000,34.38263000000,Yes,In the dry season,2,0,1,Homa Bay,Ndhiwa,Oridi B Well,KE,,Protected dug well with hand pump,2005,Community Management,Per Month,Engineering Sciences & Global Development,27/01/2011
489555,-0.52766670000,34.32032000000,No,Dry pan|No operation in the dry season,999,0,1,Homa Bay,Mbita,Ondiegi Water Pan,KE,,Surface water,0,0,No payment system,Engineering Sciences & Global Development,26/01/2011
489255,-0.74658330000,34.24483000000,Yes,In the dry season,2,0,1,Homa Bay,Ndhiwa,Ogwande B Well,KE,,Protected dug well with hand pump,1985,Community Management,Per Month,Engineering Sciences & Global Development,19/01/2011
489614,-0.77248330000,34.09305000000,No,Not constructed|No operation in the dry season,999,0,1,Homa Bay,Suba,Ogaka Borehole,KE,,Borehole with hand pump,0,Community Management,No payment system,Engineering Sciences & Global Development,26/03/2011
489613,-0.71300000000,34.06566000000,No,Equipment not-function|No operation in the dry season,0,0,1,Homa Bay,Suba,Nyenga Borehole,KE,,Borehole with hand pump,1984,Community Management,No payment system,Engineering Sciences & Global Development,26/03/2011
489292,-0.75300000000,34.36217000000,Yes,In the dry season,2,0,1,Homa Bay,Ndhiwa,Nyamware Well,KE,,Protected dug well with hand pump,2001,Community Management,Per Month,Engineering Sciences & Global Development,27/01/2011
489589,-0.59336000000,34.18297000000,Yes,No operation in the dry season,2,0,1,Homa Bay,Suba,Nyambunamo,KE,,Gravity-fed communal standpipe,2002,Community Management,Per Month,Engineering Sciences & Global Development,25/03/2011
489325,-0.53215000000,34.49213000000,No,Low yield|No operation in the dry season,2,1,1,Homa Bay,,Nyakuru Well,KE,,Protected dug well with hand pump,0,,No payment system,Engineering Sciences & Global Development,11/02/2011
489363,-0.69190000000,34.43330000000,Yes,In the dry season,2,0,1,Homa Bay,Ndhiwa,Nyakorombe,KE,,Unprotected dug well,1997,,No payment system,Engineering Sciences & Global Development,02/02/2011
489529,-0.63090000000,34.24417000000,Yes,No operation in the dry season,2,0,1,Homa Bay,Suba,Nyadenda Water Pan,KE,,Surface water,0,Community Management,No payment system,Engineering Sciences & Global Development,02/02/2011
489303,-0.78938340000,34.37457000000,No,Low yield|No operation in the dry season,2,1,1,Homa Bay,Ndhiwa,Nguku B,KE,,Borehole with hand pump,0,,No payment system,Engineering Sciences & Global Development,25/01/2011
489537,-0.55150000000,34.22772000000,No,Dry pan|No operation in the dry season,999,0,1,Homa Bay,Suba,Mwosi WP,KE,,Surface water,0,0,No payment system,Engineering Sciences & Global Development,02/02/2011
489498,-0.55150000000,34.22772000000,No,Dry well|No operation in the dry season,999,1,1,Homa Bay,Suba,Mwosi Pan Well,KE,,Protected dug well with hand pump,0,Community Management,No payment system,Engineering Sciences & Global Development,02/02/2011
484426,-3.05005580000,37.71928712000,Yes,Functional ( in use),1,1,0,,,Mutuku,KE,Protected dug well,Hand Pump|Afridev,2003,Private Individual/Delegated Management,None,Virtual Kenya,20/06/2012
489493,-0.58400000000,34.37962000000,No,Low yield|No operation in the dry season,2,1,1,Homa Bay,Mbita,Miyal East SHG WP,KE,,Protected dug well with hand pump,0,Community Management,Per Month,Engineering Sciences & Global Development,28/01/2011
489611,-0.74073340000,34.10110000000,No,Equipment not-function|No operation in the dry season,0,0,1,Homa Bay,Suba,Miria Koga Borehole,KE,,Borehole with hand pump,1996,Community Management,Per Month,Engineering Sciences & Global Development,26/03/2011
489560,-0.56035000000,34.34992000000,No,Equipment not-function|No operation in the dry season,0,0,1,Homa Bay,Mbita,Min Arot S.H.G WP,KE,,Borehole with hand pump,0,Community Management,Per Bucket,Engineering Sciences & Global Development,26/01/2011
489610,-0.75626660000,34.09534000000,No,Equipment not-function|No operation in the dry season,0,0,1,Homa Bay,Suba,Lwanda Borehole,KE,,Borehole with hand pump,0,Community Management,Per Month,Engineering Sciences & Global Development,26/03/2011
489432,-0.74278330000,34.50333000000,No,Low yield|No operation in the dry season,2,1,1,Homa Bay,Ndhiwa,Luanda s/w,KE,,Protected dug well with hand pump,2007,Community Management,Per Month,Engineering Sciences & Global Development,06/02/2011
486466,-0.15615800000,34.46625700000,Yes,Functional ( in use),1,1,0,,,ll,KE,Rainwater (harvesting),Gravity,2004,Institutional Management,None,Virtual Kenya,07/06/2012
486764,-0.10938500000,34.51458000000,Yes,Functional ( in use),1,1,0,,,lksm288,KE,Tube well or borehole,Hand Pump|Afridev,2003,Community Management,2 KES/Meter3,Virtual Kenya,25/04/2012
486763,-0.10938500000,34.51458000000,Yes,Functional ( in use),1,1,0,,,lksm288,KE,Tube well or borehole,Hand Pump|Afridev,2003,Community Management,2 KES/Meter3,Virtual Kenya,25/04/2012
486459,-0.16569400000,34.84382400000,Yes,Functional ( in use),1,1,0,,,lk,KE,Protected dug well,Hand Pump|India Mark II,1978,Private Individual/Delegated Management,1 KES/20L Jerrican,Virtual Kenya,23/04/2012
489608,-0.74105000000,34.09111000000,No,Equipment not-function|No operation in the dry season,0,0,1,Homa Bay,Suba,Lak Nyiero Borehole,KE,,Borehole with hand pump,1986,Community Management,No payment system,Engineering Sciences & Global Development,26/03/2011
485802,-0.03715000000,34.63808200000,Yes,Functional ( in use),1,1,0,,,kzm300,KE,Tube well or borehole,Submersible pump,2006,Institutional Management,None,Virtual Kenya,26/04/2012
485801,-0.03715000000,34.63808200000,Yes,Functional ( in use),1,1,0,,,kzm300,KE,Tube well or borehole,Submersible pump,2006,Institutional Management,None,Virtual Kenya,26/04/2012
486214,-0.03170300000,34.52252300000,Yes,Functional ( in use),1,1,0,,,ksw 275,KE,Unprotected dug well,,2011,Community Management,2 KES/Meter3,Virtual Kenya,23/04/2012
486215,-0.03170300000,34.52252300000,Yes,Functional ( in use),1,1,0,,,ksw 275,KE,Unprotected dug well,,2011,Community Management,2 KES/Meter3,Virtual Kenya,23/04/2012
486183,-0.17529300000,34.92578000000,Yes,Functional ( in use),1,1,0,,,ksmz,KE,piped into dwelling/plot/yard,Gravity|Electricity,2009,Private Individual/Delegated Management,35 KES/Meter3,Virtual Kenya,08/05/2012
486197,-0.15798200000,34.82509900000,Yes,Functional ( in use),1,1,0,,,ksm643,KE,Protected dug well,Hand manual,2006,Private Individual/Delegated Management,None,Virtual Kenya,14/06/2012
486299,-0.15797200000,34.82502000000,Yes,Functional ( in use),1,1,0,,,ksm642,KE,Protected dug well,Hand manual,2010,Private Individual/Delegated Management,None,Virtual Kenya,14/06/2012
486382,-0.15921300000,34.82471600000,Yes,Functional ( in use),1,1,0,,,ksm641,KE,Protected dug well,Submersible pump|Electricity,1989,Private Individual/Delegated Management,None,Virtual Kenya,14/06/2012
486238,-0.15857200000,34.82446500000,Yes,Functional ( in use),1,1,0,,,ksm640,KE,Protected dug well,Hand manual,2010,Private Individual/Delegated Management,None,Virtual Kenya,14/06/2012
486410,-0.15740600000,34.82557900000,Yes,Functional ( in use),1,1,0,,,ksm639,KE,Protected dug well,Hand manual,2003,Private Individual/Delegated Management,None,Virtual Kenya,14/06/2012
485891,-0.15748100000,34.82434700000,Yes,Functional ( in use),1,1,0,,,ksm638,KE,Protected dug well,Hand manual,1992,Private Individual/Delegated Management,None,Virtual Kenya,14/06/2012
486297,-0.15664300000,34.82414400000,Yes,Functional ( in use),1,1,0,,,ksm637,KE,Protected dug well,Submersible pump|Electricity,2010,Private Individual/Delegated Management,None,Virtual Kenya,14/06/2012
486296,-0.15663100000,34.82406700000,Yes,Functional ( in use),1,1,0,,,ksm636,KE,Protected dug well,Hand manual,1998,Private Individual/Delegated Management,None,Virtual Kenya,14/06/2012
486388,-0.15157500000,34.81354200000,Yes,Functional ( in use),1,1,0,,,ksm635,KE,Protected dug well,Hand Pump|Afridev,2002,Private Individual/Delegated Management,None,Virtual Kenya,13/06/2012
486428,-0.15057400000,34.81219100000,Yes,Functional ( in use),1,1,0,,,ksm634,KE,Protected dug well,Hand manual,2002,Private Individual/Delegated Management,None,Virtual Kenya,13/06/2012
486137,-0.15056800000,34.81206300000,Yes,Functional ( in use),1,1,0,,,ksm633,KE,Protected dug well,Hand manual,2002,Private Individual/Delegated Management,None,Virtual Kenya,13/06/2012
486435,-0.14976000000,34.81195400000,Yes,Functional ( in use),1,1,0,,,ksm632,KE,Protected dug well,Hand manual,1992,Private Individual/Delegated Management,None,Virtual Kenya,13/06/2012
486424,-0.15079000000,34.81529800000,No,Non- Functional|Dry/Low yield,0,0,1,,,ksm631,KE,Protected dug well,Hand manual,2002,Private Individual/Delegated Management,None,Virtual Kenya,13/06/2012
486206,-0.14950500000,34.81584900000,Yes,Functional ( in use),1,1,0,,,ksm630,KE,Protected dug well,Hand manual,2010,Private Individual/Delegated Management,None,Virtual Kenya,13/06/2012
486576,-0.14867400000,34.81552700000,Yes,Functional ( in use),1,1,0,,,ksm629,KE,Protected dug well,Hand Pump|Afridev,2005,Community Management,2 KES/20L Jerrican,Virtual Kenya,13/06/2012
486259,-0.14821500000,34.81454100000,Yes,Functional ( in use),1,1,0,,,ksm628,KE,Protected dug well,Hand Pump|Afridev,2005,Private Individual/Delegated Management,2 KES/20L Jerrican,Virtual Kenya,13/06/2012
486651,-0.14819300000,34.81448800000,Yes,Functional ( in use),1,1,0,,,ksm627,KE,Protected dug well,Hand Pump|Afridev,2005,Community Management,2 KES/20L Jerrican,Virtual Kenya,13/06/2012
486119,-0.15069400000,34.81429700000,Yes,Functional ( in use),1,1,0,,,ksm626,KE,Dam/Pan(runoff harvesting),,2010,Private Individual/Delegated Management,None,Virtual Kenya,13/06/2012
486284,-0.14244300000,34.88774000000,Yes,Functional ( in use),1,1,0,,,ksm625,KE,Protected dug well,Hand Pump|Afridev,1992,Private Individual/Delegated Management,2 KES/20L Jerrican,Virtual Kenya,08/06/2012
486345,-0.14055200000,34.89181200000,Yes,Functional ( in use),1,1,0,,,ksm609,KE,Unprotected dug well,,1980,Private Individual/Delegated Management,1 KES/20L Jerrican,Virtual Kenya,08/06/2012
486236,-0.15371000000,34.81989300000,Yes,Functional ( in use),1,1,0,,,ksm608,KE,Tube well or borehole,Submersible pump|Electricity,2010,Private Individual/Delegated Management,None,Virtual Kenya,07/06/2012
486195,-0.15374500000,34.81984000000,Yes,Functional ( in use),1,1,0,,,ksm608,KE,Protected dug well,Hand manual,2008,Private Individual/Delegated Management,None,Virtual Kenya,07/06/2012
486335,-0.15280100000,34.81887300000,Yes,Functional ( in use),1,1,0,,,ksm605,KE,Protected dug well,Hand manual,1998,Private Individual/Delegated Management,2 KES/20L Jerrican,Virtual Kenya,07/06/2012
486109,-0.14295100000,34.79995000000,Yes,Functional ( in use),1,1,0,,,ksm604,KE,Protected dug well,Hand manual,1992,Private Individual/Delegated Management,None,Virtual Kenya,07/06/2012
486278,-0.14302000000,34.79994400000,Yes,Functional ( in use),1,1,0,,,ksm603,KE,Protected dug well,Hand manual,2010,Private Individual/Delegated Management,None,Virtual Kenya,07/06/2012
486787,-0.13982900000,34.89190700000,Yes,Functional ( in use),1,1,0,,,ksm602,KE,Protected dug well,Hand manual,2002,Private Individual/Delegated Management,None,Virtual Kenya,06/06/2012
486563,-0.14099000000,34.88905800000,Yes,Functional ( in use),1,1,0,,,ksm600,KE,Protected dug well,Gravity,2011,Institutional Management,None,Virtual Kenya,06/06/2012
486562,-0.14164000000,34.88753400000,Yes,Functional ( in use),1,1,0,,,ksm597,KE,Tube well or borehole,Hand Pump|Afridev,2010,Institutional Management,None,Virtual Kenya,06/06/2012
486565,-0.14164000000,34.88753400000,Yes,Functional ( in use),1,1,0,,,ksm596,KE,Tube well or borehole,Hand Pump|India Mark II,2010,Institutional Management,None,Virtual Kenya,06/06/2012
486316,-0.14130800000,34.88514200000,Yes,Functional ( in use),1,1,0,,,ksm595,KE,Protected dug well,Hand manual,1992,Private Individual/Delegated Management,None,Virtual Kenya,06/06/2012
486373,-0.14193500000,34.88493100000,Yes,Functional ( in use),1,1,0,,,ksm594,KE,Protected dug well,Hand manual,2010,Private Individual/Delegated Management,None,Virtual Kenya,06/06/2012
486360,-0.14220700000,34.88442200000,Yes,Functional ( in use),1,1,0,,,ksm593,KE,Protected dug well,Hand manual,2011,Private Individual/Delegated Management,None,Virtual Kenya,06/06/2012
486439,-0.14220700000,34.88442200000,Yes,Functional ( in use),1,1,0,,,ksm592,KE,Protected dug well,Hand manual,2011,Private Individual/Delegated Management,None,Virtual Kenya,06/06/2012
486342,-0.15714900000,34.84166400000,Yes,Functional ( in use),1,1,0,,,ksm591,KE,Protected dug well,Hand manual,2008,Private Individual/Delegated Management,None,Virtual Kenya,06/06/2012
485958,-0.15616500000,34.84127500000,Yes,Functional ( in use),1,1,0,,,ksm590,KE,Protected dug well,Hand manual,2008,Private Individual/Delegated Management,None,Virtual Kenya,06/06/2012
485886,-0.15745700000,34.84086600000,Yes,Functional ( in use),1,1,0,,,ksm589,KE,Tube well or borehole,Submersible pump|Electricity,2010,Private Individual/Delegated Management,None,Virtual Kenya,06/06/2012
486336,-0.15691900000,34.84113600000,Yes,Functional ( in use),1,1,0,,,ksm588,KE,Tube well or borehole,Submersible pump|Electricity,2010,Private Individual/Delegated Management,None,Virtual Kenya,06/06/2012
486353,-0.14399000000,34.80272100000,Yes,Functional ( in use),1,1,0,,,ksm587,KE,Protected dug well,Hand manual,1992,Community Management,None,Virtual Kenya,05/06/2012
486722,-0.14767200000,34.80595200000,Yes,Functional ( in use),1,1,0,,,ksm586,KE,Surface water(lake),,1920,Private Individual/Delegated Management,None,Virtual Kenya,05/06/2012
486541,-0.15190200000,34.81178900000,Yes,Functional ( in use),1,1,0,,,ksm585,KE,Protected dug well,Hand Pump|Afridev,1992,Institutional Management,1 KES/20L Jerrican,Virtual Kenya,05/06/2012
486757,-0.14285600000,34.88227900000,Yes,Functional ( in use),1,1,0,,,ksm584,KE,Protected dug well,Hand manual,2010,Private Individual/Delegated Management,None,Virtual Kenya,05/06/2012
486581,-0.14261300000,34.88306200000,Yes,Functional ( in use),1,1,0,,,ksm583,KE,Protected dug well,Hand manual,2002,Private Individual/Delegated Management,None,Virtual Kenya,05/06/2012
486031,-0.14374500000,34.88378300000,Yes,Functional ( in use),1,1,0,,,ksm582,KE,Protected dug well,Hand manual,2010,Private Individual/Delegated Management,None,Virtual Kenya,05/06/2012
486625,-0.14489100000,34.88427100000,Yes,Functional ( in use),1,1,0,,,ksm581,KE,Protected dug well,Hand manual,2010,Private Individual/Delegated Management,None,Virtual Kenya,05/06/2012
485762,-0.24813400000,34.87092600000,Yes,Functional ( in use),1,1,0,,,ksm580,KE,Tube well or borehole,Hand Pump|Afridev,2009,Community Management,2 KES/20L Jerrican,Virtual Kenya,25/06/2012
486624,-0.14444900000,34.88388200000,Yes,Functional ( in use),1,1,0,,,ksm580,KE,Protected dug well,Hand manual,2004,Community Management,None,Virtual Kenya,05/06/2012
485934,-0.14395800000,34.88228200000,Yes,Functional ( in use),1,1,0,,,ksm579,KE,Protected dug well,Hand manual,2010,Private Individual/Delegated Management,None,Virtual Kenya,05/06/2012
485932,-0.14630500000,34.88265300000,Yes,Functional ( in use),1,1,0,,,ksm578,KE,Protected dug well,Hand manual,2002,Private Individual/Delegated Management,None,Virtual Kenya,05/06/2012
486482,-0.14497000000,34.88220500000,Yes,Functional ( in use),1,1,0,,,ksm577,KE,Protected dug well,Hand manual,2009,Private Individual/Delegated Management,None,Virtual Kenya,05/06/2012
486131,-0.14456200000,34.88128000000,Yes,Functional ( in use),1,1,0,,,ksm576,KE,Protected dug well,Hand manual,2000,Private Individual/Delegated Management,None,Virtual Kenya,05/06/2012
486166,-0.15564400000,34.85361500000,Yes,Functional ( in use),1,1,0,,,ksm574,KE,Protected dug well,Hand manual,1992,Private Individual/Delegated Management,None,Virtual Kenya,05/06/2012
486331,-0.15564400000,34.85361500000,Yes,Functional ( in use),1,1,0,,,ksm573,KE,Protected dug well,Hand Pump|Afridev,2008,Private Individual/Delegated Management,None,Virtual Kenya,05/06/2012
486536,-0.15587200000,34.84184700000,Yes,Functional ( in use),1,1,0,,,ksm572,KE,Protected dug well,Hand Pump|Afridev,2010,Institutional Management,None,Virtual Kenya,05/06/2012
486001,-0.15256100000,34.82584500000,No,Non- Functional|Dry/Low yield,0,0,1,,,ksm571,KE,Protected dug well,Hand manual,2010,Private Individual/Delegated Management,None,Virtual Kenya,05/06/2012
486456,-0.15333600000,34.82445100000,Yes,Functional ( in use),1,1,0,,,ksm570,KE,Dam/Pan(runoff harvesting),,2010,Private Individual/Delegated Management,None,Virtual Kenya,05/06/2012
485729,-0.13143700000,34.79452500000,Yes,Functional ( in use),1,1,0,,,ksm569,KE,Surface water(lake),,1920,Private Individual/Delegated Management,None,Virtual Kenya,05/06/2012
485945,-0.15491800000,34.84479600000,Yes,Functional ( in use),1,1,0,,,ksm568,KE,Protected dug well,Hand manual,2010,Private Individual/Delegated Management,None,Virtual Kenya,04/06/2012
485964,-0.14015000000,34.87667200000,Yes,Functional ( in use),1,1,0,,,ksm567,KE,Protected dug well,Hand manual,1992,Private Individual/Delegated Management,None,Virtual Kenya,04/06/2012
485983,-0.14007200000,34.87701900000,Yes,Functional ( in use),1,1,0,,,ksm566,KE,Protected dug well,Hand manual,1992,Private Individual/Delegated Management,None,Virtual Kenya,04/06/2012
486185,-0.13911700000,34.87758100000,Yes,Functional ( in use),1,1,0,,,ksm564,KE,Protected dug well,Hand manual,1992,Private Individual/Delegated Management,None,Virtual Kenya,04/06/2012
485814,-0.13729900000,34.87841500000,Yes,Functional ( in use),1,1,0,,,ksm563,KE,Protected dug well,Hand manual,2011,Private Individual/Delegated Management,None,Virtual Kenya,04/06/2012
486409,-0.13800600000,34.87731300000,Yes,Functional ( in use),1,1,0,,,ksm562,KE,Protected dug well,Hand manual,2011,Private Individual/Delegated Management,None,Virtual Kenya,04/06/2012
486340,-0.13857100000,34.87716200000,Yes,Functional ( in use),1,1,0,,,ksm561,KE,Dam/Pan(runoff harvesting),,1992,Private Individual/Delegated Management,None,Virtual Kenya,04/06/2012
486425,-0.13925800000,34.87718700000,Yes,Functional ( in use),1,1,0,,,ksm560,KE,Protected dug well,Hand manual,1996,Private Individual/Delegated Management,None,Virtual Kenya,04/06/2012
485847,-0.15838900000,34.90552400000,Yes,Functional ( in use),1,1,0,,,ksm560,KE,Rainwater (harvesting),Hand manual,2008,Community Management,None,Virtual Kenya,03/07/2012
485982,-0.13879500000,34.87498900000,Yes,Functional ( in use),1,1,0,,,ksm559,KE,Protected dug well,Hand manual,1972,Private Individual/Delegated Management,None,Virtual Kenya,04/06/2012
486341,-0.13825400000,34.87614600000,Yes,Functional ( in use),1,1,0,,,ksm558,KE,Protected dug well,Hand manual,1975,Private Individual/Delegated Management,None,Virtual Kenya,04/06/2012
486473,-0.17205400000,35.23272700000,Yes,Functional ( in use),1,1,0,,,ksm557,KE,piped into dwelling/plot/yard,Surface pump|Electricity,2004,Other,50 KES/Meter3,Virtual Kenya,20/06/2012
