WELL_ID,LAT_DD,LONG_DD,FUNC,STATUS,COD_FCN,COD_QTY,COD_RESRCE,ADM1,ADM2,ACTIVITY,COUNTRY,WATERSRC,WATERTECH,INSTALLED,MGMT,PAY,SOURCE,RPT_DATE,RPT_YEAR,BKDWN_YEAR
486238,-0.158572,34.824465,Yes,Functional ( in use),1,1,0,,,ksm640,KE,Protected dug well,Hand manual,2010,Private Individual/Delegated Management,None,Virtual Kenya,2012-06-14,2012.0,2012.0
486410,-0.157406,34.825579,Yes,Functional ( in use),1,1,0,,,ksm639,KE,Protected dug well,Hand manual,2003,Private Individual/Delegated Management,None,Virtual Kenya,2012-06-14,2012.0,2012.0
485891,-0.157481,34.824347,Yes,Functional ( in use),1,1,0,,,ksm638,KE,Protected dug well,Hand manual,1992,Private Individual/Delegated Management,None,Virtual Kenya,2012-06-14,2012.0,2012.0
486297,-0.156643,34.824144,Yes,Functional ( in use),1,1,0,,,ksm637,KE,Protected dug well,Submersible pump|Electricity,2010,Private Individual/Delegated Management,None,Virtual Kenya,2012-06-14,2012.0,2012.0
486296,-0.156631,34.824067,Yes,Functional ( in use),1,1,0,,,ksm636,KE,Protected dug well,Hand manual,1998,Private Individual/Delegated Management,None,Virtual Kenya,2012-06-14,2012.0,2012.0
486388,-0.151575,34.813542,Yes,Functional ( in use),1,1,0,,,ksm635,KE,Protected dug well,Hand Pump|Afridev,2002,Private Individual/Delegated Management,None,Virtual Kenya,2012-06-13,2012.0,2012.0
486428,-0.150574,34.812191,Yes,Functional ( in use),1,1,0,,,ksm634,KE,Protected dug well,Hand manual,2002,Private Individual/Delegated Management,None,Virtual Kenya,2012-06-13,2012.0,2012.0
486137,-0.150568,34.812063,Yes,Functional ( in use),1,1,0,,,ksm633,KE,Protected dug well,Hand manual,2002,Private Individual/Delegated Management,None,Virtual Kenya,2012-06-13,2012.0,2012.0
486435,-0.14976,34.811954,Yes,Functional ( in use),1,1,0,,,ksm632,KE,Protected dug well,Hand manual,1992,Private Individual/Delegated Management,None,Virtual Kenya,2012-06-13,2012.0,2012.0
486424,-0.15079,34.815298,No,Non- Functional|Dry/Low yield,0,0,1,,,ksm631,KE,Protected dug well,Hand manual,2002,Private Individual/Delegated Management,None,Virtual Kenya,2012-06-13,2012.0,2012.0
486206,-0.149505,34.815849,Yes,Functional ( in use),1,1,0,,,ksm630,KE,Protected dug well,Hand manual,2010,Private Individual/Delegated Management,None,Virtual Kenya,2012-06-13,2012.0,2012.0
486576,-0.148674,34.815527,Yes,Functional ( in use),1,1,0,,,ksm629,KE,Protected dug well,Hand Pump|Afridev,2005,Community Management,2 KES/20L Jerrican,Virtual Kenya,2012-06-13,2012.0,2012.0
486259,-0.148215,34.814541,Yes,Functional ( in use),1,1,0,,,ksm628,KE,Protected dug well,Hand Pump|Afridev,2005,Private Individual/Delegated Management,2 KES/20L Jerrican,Virtual Kenya,2012-06-13,2012.0,2012.0
486651,-0.148193,34.814488,Yes,Functional ( in use),1,1,0,,,ksm627,KE,Protected dug well,Hand Pump|Afridev,2005,Community Management,2 KES/20L Jerrican,Virtual Kenya,2012-06-13,2012.0,2012.0
486119,-0.150694,34.814297,Yes,Functional ( in use),1,1,0,,,ksm626,KE,Dam/Pan(runoff harvesting),Not recorded,2010,Private Individual/Delegated Management,None,Virtual Kenya,2012-06-13,2012.0,2012.0
486284,-0.142443,34.88774,Yes,Functional ( in use),1,1,0,,,ksm625,KE,Protected dug well,Hand Pump|Afridev,1992,Private Individual/Delegated Management,2 KES/20L Jerrican,Virtual Kenya,2012-08-06,2012.0,2012.0
486345,-0.140552,34.891812,Yes,Functional ( in use),1,1,0,,,ksm609,KE,Unprotected dug well,Not recorded,1980,Private Individual/Delegated Management,1 KES/20L Jerrican,Virtual Kenya,2012-08-06,2012.0,2012.0
486236,-0.15371,34.819893,Yes,Functional ( in use),1,1,0,,,ksm608,KE,Tube well or borehole,Submersible pump|Electricity,2010,Private Individual/Delegated Management,None,Virtual Kenya,2012-07-06,2012.0,2012.0
486195,-0.153745,34.81984,Yes,Functional ( in use),1,1,0,,,ksm608,KE,Protected dug well,Hand manual,2008,Private Individual/Delegated Management,None,Virtual Kenya,2012-07-06,2012.0,2012.0
486335,-0.152801,34.818873,Yes,Functional ( in use),1,1,0,,,ksm605,KE,Protected dug well,Hand manual,1998,Private Individual/Delegated Management,2 KES/20L Jerrican,Virtual Kenya,2012-07-06,2012.0,2012.0
486109,-0.142951,34.79995,Yes,Functional ( in use),1,1,0,,,ksm604,KE,Protected dug well,Hand manual,1992,Private Individual/Delegated Management,None,Virtual Kenya,2012-07-06,2012.0,2012.0
486278,-0.14302,34.799944,Yes,Functional ( in use),1,1,0,,,ksm603,KE,Protected dug well,Hand manual,2010,Private Individual/Delegated Management,None,Virtual Kenya,2012-07-06,2012.0,2012.0
486787,-0.139829,34.891907,Yes,Functional ( in use),1,1,0,,,ksm602,KE,Protected dug well,Hand manual,2002,Private Individual/Delegated Management,None,Virtual Kenya,2012-06-06,2012.0,2012.0
486563,-0.14099,34.889058,Yes,Functional ( in use),1,1,0,,,ksm600,KE,Protected dug well,Gravity,2011,Institutional Management,None,Virtual Kenya,2012-06-06,2012.0,2012.0
486562,-0.14164,34.887534,Yes,Functional ( in use),1,1,0,,,ksm597,KE,Tube well or borehole,Hand Pump|Afridev,2010,Institutional Management,None,Virtual Kenya,2012-06-06,2012.0,2012.0
486565,-0.14164,34.887534,Yes,Functional ( in use),1,1,0,,,ksm596,KE,Tube well or borehole,Hand Pump|India Mark II,2010,Institutional Management,None,Virtual Kenya,2012-06-06,2012.0,2012.0
486316,-0.141308,34.885142,Yes,Functional ( in use),1,1,0,,,ksm595,KE,Protected dug well,Hand manual,1992,Private Individual/Delegated Management,None,Virtual Kenya,2012-06-06,2012.0,2012.0
486373,-0.141935,34.884931,Yes,Functional ( in use),1,1,0,,,ksm594,KE,Protected dug well,Hand manual,2010,Private Individual/Delegated Management,None,Virtual Kenya,2012-06-06,2012.0,2012.0
486360,-0.142207,34.884422,Yes,Functional ( in use),1,1,0,,,ksm593,KE,Protected dug well,Hand manual,2011,Private Individual/Delegated Management,None,Virtual Kenya,2012-06-06,2012.0,2012.0
486439,-0.142207,34.884422,Yes,Functional ( in use),1,1,0,,,ksm592,KE,Protected dug well,Hand manual,2011,Private Individual/Delegated Management,None,Virtual Kenya,2012-06-06,2012.0,2012.0
486342,-0.157149,34.841664,Yes,Functional ( in use),1,1,0,,,ksm591,KE,Protected dug well,Hand manual,2008,Private Individual/Delegated Management,None,Virtual Kenya,2012-06-06,2012.0,2012.0
485958,-0.156165,34.841275,Yes,Functional ( in use),1,1,0,,,ksm590,KE,Protected dug well,Hand manual,2008,Private Individual/Delegated Management,None,Virtual Kenya,2012-06-06,2012.0,2012.0
485886,-0.157457,34.840866,Yes,Functional ( in use),1,1,0,,,ksm589,KE,Tube well or borehole,Submersible pump|Electricity,2010,Private Individual/Delegated Management,None,Virtual Kenya,2012-06-06,2012.0,2012.0
486336,-0.156919,34.841136,Yes,Functional ( in use),1,1,0,,,ksm588,KE,Tube well or borehole,Submersible pump|Electricity,2010,Private Individual/Delegated Management,None,Virtual Kenya,2012-06-06,2012.0,2012.0
486353,-0.14399,34.802721,Yes,Functional ( in use),1,1,0,,,ksm587,KE,Protected dug well,Hand manual,1992,Community Management,None,Virtual Kenya,2012-05-06,2012.0,2012.0
486722,-0.147672,34.805952,Yes,Functional ( in use),1,1,0,,,ksm586,KE,Surface water(lake),Not recorded,1920,Private Individual/Delegated Management,None,Virtual Kenya,2012-05-06,2012.0,2012.0
486541,-0.151902,34.811789,Yes,Functional ( in use),1,1,0,,,ksm585,KE,Protected dug well,Hand Pump|Afridev,1992,Institutional Management,1 KES/20L Jerrican,Virtual Kenya,2012-05-06,2012.0,2012.0
486757,-0.142856,34.882279,Yes,Functional ( in use),1,1,0,,,ksm584,KE,Protected dug well,Hand manual,2010,Private Individual/Delegated Management,None,Virtual Kenya,2012-05-06,2012.0,2012.0
486581,-0.142613,34.883062,Yes,Functional ( in use),1,1,0,,,ksm583,KE,Protected dug well,Hand manual,2002,Private Individual/Delegated Management,None,Virtual Kenya,2012-05-06,2012.0,2012.0
486031,-0.143745,34.883783,Yes,Functional ( in use),1,1,0,,,ksm582,KE,Protected dug well,Hand manual,2010,Private Individual/Delegated Management,None,Virtual Kenya,2012-05-06,2012.0,2012.0
486625,-0.144891,34.884271,Yes,Functional ( in use),1,1,0,,,ksm581,KE,Protected dug well,Hand manual,2010,Private Individual/Delegated Management,None,Virtual Kenya,2012-05-06,2012.0,2012.0
485762,-0.248134,34.870926,Yes,Functional ( in use),1,1,0,,,ksm580,KE,Tube well or borehole,Hand Pump|Afridev,2009,Community Management,2 KES/20L Jerrican,Virtual Kenya,2012-06-25,2012.0,2012.0
486624,-0.144449,34.883882,Yes,Functional ( in use),1,1,0,,,ksm580,KE,Protected dug well,Hand manual,2004,Community Management,None,Virtual Kenya,2012-05-06,2012.0,2012.0
485934,-0.143958,34.882282,Yes,Functional ( in use),1,1,0,,,ksm579,KE,Protected dug well,Hand manual,2010,Private Individual/Delegated Management,None,Virtual Kenya,2012-05-06,2012.0,2012.0
485932,-0.146305,34.882653,Yes,Functional ( in use),1,1,0,,,ksm578,KE,Protected dug well,Hand manual,2002,Private Individual/Delegated Management,None,Virtual Kenya,2012-05-06,2012.0,2012.0
486482,-0.14497,34.882205,Yes,Functional ( in use),1,1,0,,,ksm577,KE,Protected dug well,Hand manual,2009,Private Individual/Delegated Management,None,Virtual Kenya,2012-05-06,2012.0,2012.0
486131,-0.144562,34.88128,Yes,Functional ( in use),1,1,0,,,ksm576,KE,Protected dug well,Hand manual,2000,Private Individual/Delegated Management,None,Virtual Kenya,2012-05-06,2012.0,2012.0
486166,-0.155644,34.853615,Yes,Functional ( in use),1,1,0,,,ksm574,KE,Protected dug well,Hand manual,1992,Private Individual/Delegated Management,None,Virtual Kenya,2012-05-06,2012.0,2012.0
486331,-0.155644,34.853615,Yes,Functional ( in use),1,1,0,,,ksm573,KE,Protected dug well,Hand Pump|Afridev,2008,Private Individual/Delegated Management,None,Virtual Kenya,2012-05-06,2012.0,2012.0
486536,-0.155872,34.841847,Yes,Functional ( in use),1,1,0,,,ksm572,KE,Protected dug well,Hand Pump|Afridev,2010,Institutional Management,None,Virtual Kenya,2012-05-06,2012.0,2012.0
486001,-0.152561,34.825845,No,Non- Functional|Dry/Low yield,0,0,1,,,ksm571,KE,Protected dug well,Hand manual,2010,Private Individual/Delegated Management,None,Virtual Kenya,2012-05-06,2012.0,2012.0
486456,-0.153336,34.824451,Yes,Functional ( in use),1,1,0,,,ksm570,KE,Dam/Pan(runoff harvesting),Not recorded,2010,Private Individual/Delegated Management,None,Virtual Kenya,2012-05-06,2012.0,2012.0
485729,-0.131437,34.794525,Yes,Functional ( in use),1,1,0,,,ksm569,KE,Surface water(lake),Not recorded,1920,Private Individual/Delegated Management,None,Virtual Kenya,2012-05-06,2012.0,2012.0
485945,-0.154918,34.844796,Yes,Functional ( in use),1,1,0,,,ksm568,KE,Protected dug well,Hand manual,2010,Private Individual/Delegated Management,None,Virtual Kenya,2012-04-06,2012.0,2012.0
485964,-0.14015,34.876672,Yes,Functional ( in use),1,1,0,,,ksm567,KE,Protected dug well,Hand manual,1992,Private Individual/Delegated Management,None,Virtual Kenya,2012-04-06,2012.0,2012.0
485983,-0.140072,34.877019,Yes,Functional ( in use),1,1,0,,,ksm566,KE,Protected dug well,Hand manual,1992,Private Individual/Delegated Management,None,Virtual Kenya,2012-04-06,2012.0,2012.0
486185,-0.139117,34.877581,Yes,Functional ( in use),1,1,0,,,ksm564,KE,Protected dug well,Hand manual,1992,Private Individual/Delegated Management,None,Virtual Kenya,2012-04-06,2012.0,2012.0
485814,-0.137299,34.878415,Yes,Functional ( in use),1,1,0,,,ksm563,KE,Protected dug well,Hand manual,2011,Private Individual/Delegated Management,None,Virtual Kenya,2012-04-06,2012.0,2012.0
486409,-0.138006,34.877313,Yes,Functional ( in use),1,1,0,,,ksm562,KE,Protected dug well,Hand manual,2011,Private Individual/Delegated Management,None,Virtual Kenya,2012-04-06,2012.0,2012.0
486340,-0.138571,34.877162,Yes,Functional ( in use),1,1,0,,,ksm561,KE,Dam/Pan(runoff harvesting),Not recorded,1992,Private Individual/Delegated Management,None,Virtual Kenya,2012-04-06,2012.0,2012.0
486425,-0.139258,34.877187,Yes,Functional ( in use),1,1,0,,,ksm560,KE,Protected dug well,Hand manual,1996,Private Individual/Delegated Management,None,Virtual Kenya,2012-04-06,2012.0,2012.0
485982,-0.138795,34.874989,Yes,Functional ( in use),1,1,0,,,ksm559,KE,Protected dug well,Hand manual,1972,Private Individual/Delegated Management,None,Virtual Kenya,2012-04-06,2012.0,2012.0
486341,-0.138254,34.876146,Yes,Functional ( in use),1,1,0,,,ksm558,KE,Protected dug well,Hand manual,1975,Private Individual/Delegated Management,None,Virtual Kenya,2012-04-06,2012.0,2012.0
486473,-0.172054,35.232727,Yes,Functional ( in use),1,1,0,,,ksm557,KE,piped into dwelling/plot/yard,Surface pump|Electricity,2004,Other,50 KES/Meter3,Virtual Kenya,2012-06-20,2012.0,2012.0
486525,-0.141309,34.876068,Yes,Functional ( in use),1,1,0,,,ksm557,KE,Protected dug well,Hand manual,1988,Private Individual/Delegated Management,None,Virtual Kenya,2012-04-06,2012.0,2012.0
485810,-0.141158,34.874817,Yes,Functional ( in use),1,1,0,,,ksm556,KE,Protected dug well,Hand manual,1988,Private Individual/Delegated Management,None,Virtual Kenya,2012-04-06,2012.0,2012.0
486738,-0.141279,34.874554,Yes,Functional ( in use),1,1,0,,,ksm555,KE,Protected dug well,Hand manual,2010,Private Individual/Delegated Management,None,Virtual Kenya,2012-04-06,2012.0,2012.0
485834,-0.142855,34.874263,Yes,Functional ( in use),1,1,0,,,ksm554,KE,Protected dug well,Hand manual,1995,Private Individual/Delegated Management,None,Virtual Kenya,2012-04-06,2012.0,2012.0
486107,-0.143539,34.874158,Yes,Functional ( in use),1,1,0,,,ksm553,KE,Protected dug well,Hand manual,1935,Private Individual/Delegated Management,None,Virtual Kenya,2012-04-06,2012.0,2012.0
486492,-0.15407,34.827982,Yes,Functional ( in use),1,1,0,,,ksm551,KE,Tube well or borehole,Submersible pump|Electricity,2011,Community Management,2 KES/20L Jerrican,Virtual Kenya,2012-04-06,2012.0,2012.0
486426,-0.169626,35.231415,Yes,Functional ( in use),1,1,0,,,ksm549,KE,piped into dwelling/plot/yard,Surface pump|Electricity,2008,Other,60 KES/Meter3,Virtual Kenya,2012-06-20,2012.0,2012.0
486431,-0.150646,34.856803,Yes,Functional ( in use),1,1,0,,,ksm549,KE,Protected dug well,Hand manual,1992,Private Individual/Delegated Management,None,Virtual Kenya,2012-01-06,2012.0,2012.0
486115,-0.150847,34.854689,Yes,Functional ( in use),1,1,0,,,ksm546,KE,Protected dug well,Hand manual,1979,Private Individual/Delegated Management,None,Virtual Kenya,2012-01-06,2012.0,2012.0
486404,-0.150195,34.854147,Yes,Functional ( in use),1,1,0,,,ksm545,KE,Protected dug well,Hand manual,1984,Private Individual/Delegated Management,None,Virtual Kenya,2012-01-06,2012.0,2012.0
486483,-0.153001,34.852155,Yes,Functional ( in use),1,1,0,,,ksm541,KE,Protected dug well,Hand manual,2010,Institutional Management,None,Virtual Kenya,2012-01-06,2012.0,2012.0
486768,-0.1537,34.851583,Yes,Functional ( in use),1,1,0,,,ksm540,KE,Protected dug well,Submersible pump|Electricity,1998,Institutional Management,None,Virtual Kenya,2012-01-06,2012.0,2012.0
486558,-0.155485,35.199313,Yes,Functional ( in use),1,1,0,,,ksm539,KE,piped into dwelling/plot/yard,Surface pump|Electricity,2006,Other,50 KES/Meter3,Virtual Kenya,2012-06-15,2012.0,2012.0
486019,-0.152628,34.855539,Yes,Functional ( in use),1,1,0,,,ksm539,KE,Protected dug well,Hand manual,2010,Private Individual/Delegated Management,None,Virtual Kenya,2012-05-31,2012.0,2012.0
486432,-0.152614,34.855674,Yes,Functional ( in use),1,1,0,,,ksm538,KE,Protected dug well,Hand manual,2011,Private Individual/Delegated Management,None,Virtual Kenya,2012-05-31,2012.0,2012.0
486072,-0.170392,35.235607,Yes,Functional ( in use),1,1,0,,,ksm538,KE,piped into dwelling/plot/yard,Surface pump|Electricity,2005,Other,50 KES/Meter3,Virtual Kenya,2012-06-20,2012.0,2012.0
486064,-0.151457,34.854484,Yes,Functional ( in use),1,1,0,,,ksm536,KE,Protected dug well,Hand Pump|Afridev,2005,Private Individual/Delegated Management,None,Virtual Kenya,2012-05-31,2012.0,2012.0
485857,-0.154316,35.199208,Yes,Functional ( in use),1,1,0,,,ksm536,KE,piped into dwelling/plot/yard,Surface pump|Electricity,2006,Other,35 KES/Meter3,Virtual Kenya,2012-06-15,2012.0,2012.0
